"294","YUPIK 1KG - PINEAPPLE TIDBITS (NO SULFITE)","YUPIK 1KG - ANANAS TIDBITS (SANS SULFITE)"
"295","YUPIK 1KG - MANGO SLICED (NO SULFITE)","YUPIK 1KG - MANGUES TRANCHÉES (SANS SULFITE)"
"296","YUPIK 1KG - NATURAL GOJI BERRIES","YUPIK 1KG - BAIES DE GOJI (NATURELLES)"
"301","YUPIK 1KG - CHOCOLATE ALMONDS","YUPIK 1KG - AMANDES AU CHOCOLAT"
"302","YUPIK 1KG - CHOCOLATE PEANUTS","YUPIK 1KG - ARACHIDES AU CHOCOLAT"
"303","YUPIK 1KG - CHOCOLATE RAISINS","YUPIK 1KG - RAISINS AU CHOCOLAT"
"304","YUPIK 1KG - MILK CHOCOLATE CRANBERRIES","YUPIK 1KG - CANNEBERGES AU CHOCOLAT (LAIT)"
"340","YUPIK 1KG - CHOCOLATE ALMONDS (DARK)","YUPIK 1KG - AMANDES AU CHOCOLAT (NOIR)"
"341","YUPIK 1KG - CHOCOLATE RAISINS (DARK)","YUPIK 1KG - RAISINS AU CHOCOLAT (NOIR)"
"342","YUPIK 1KG - DARK CHOCOLATE CRANBERRIES","YUPIK 1KG - CANNEBERGES AU CHOCOLAT NOIR"
"343","YUPIK 1KG - DARK CHOCOLATE STRAWBERRIES","YUPIK 1KG - FRAISES AU CHOCOLAT NOIR"
"344","YUPIK 1KG - DARK CHOCOLATE COCONUT CUBES","YUPIK 1KG - NOIX DE COCO AU CHOCO. NOIR"
"360","YUPIK 1KG - YOGURT CRANBERRIES","YUPIK 1KG - CANNEBERGES AU YOGOURT"
"361","YUPIK 1KG - YOGURT ALMONDS","YUPIK 1KG- AMANDES AU YOGOURT"
"362","YUPIK 1KG - YOGURT PEANUTS","YUPIK 1KG - ARACHIDES AU YOGOURT"
"601","YUPIK 1KG - RAW SHELLED SUNFLOWER SEEDS","YUPIK 1KG - GRAINES DE TOURNESOL CRUE SANS ÉCA. NAT."
"602","YUPIK 1KG  - SHELLED SUNFLOWER SEEDS RS","YUPIK 1KG - GRAINES DE TOURNESOL SANS ÉCALE RS"
"603","YUPIK 1KG - SHELLED SUNFLOWER SEEDS RNS","YUPIK 1KG - GRAINES DE TOURNESOL SANS ÉCALE RNS"
"610","YUPIK 1KG - RAW SHELLED PUMPKIN SEEDS (AA)","YUPIK 1KG - GRAINES DE CITROUILLE NATURE (AA)"
"620","YUPIK 1KG - BLACK SESAME SEEDS","YUPIK 1KG - GRAINES DES SÉSAME NOIRES"
"621","YUPIK 1KG - NATURAL SESAME SEEDS","YUPIK 1KG - GRAINES DE SÉSAME NATURELLES"
"622","YUPIK 1KG - HULLED SESAME SEEDS","YUPIK 1KG - GRAINES DE SÉSAME DÉCORTIQUÉES"
"623","YUPIK 1KG - POPPY SEEDS","YUPIK 1KG - GRAINES DE PAVOT"
"640","YUPIK 1KG - BROWN FLAX SEEDS","YUPIK 1KG - GRAINES DE LIN BRUN"
"685","YUPIK 1KG - SIMULATED BACON BITS","YUPIK 1KG - IMITATION DE MORCEAUX DE BACON"
"801","YUPIK 1KG - ORGANIC GOJI BERRIES","YUPIK 1KG - BAIES DE GOJI (BIO)"
"802","YUPIK 1KG - ORGANIC DICED GINGER 8-16 MM","YUPIK 1KG - GINGEMBRE EN DÉS 8-16 MM (BIO)"
"803","YUPIK 1KG - ORGANIC PAPAYA SPEARS","YUPIK 1KG - PAPAYES EN ÉPÉES (BIO)"
"804","YUPIK 1KG - ORGANIC PINEAPPLE RING","YUPIK 1KG - ANANAS EN RONDELLES (BIO)"
"805","YUPIK 1KG - ORGANIC CRANBERRIES","YUPIK 1KG - CANNEBERGES BIOLOGIQUES"
