"#","Cod","Title EN","Title FR"
"82","343","YUPIK 1KG - DARK CHOCOLATE STRAWBERRIES","YUPIK 1KG - FRAISES AU CHOCOLAT NOIR"
"83","344","YUPIK 1KG - DARK CHOCOLATE COCONUT CUBES","YUPIK 1KG - NOIX DE COCO AU CHOCO. NOIR"
"84","360","YUPIK 1KG - YOGURT CRANBERRIES","YUPIK 1KG - CANNEBERGES AU YOGOURT"
"85","361","YUPIK 1KG - YOGURT ALMONDS","YUPIK 1KG- AMANDES AU YOGOURT"
"86","362","YUPIK 1KG - YOGURT PEANUTS","YUPIK 1KG - ARACHIDES AU YOGOURT"
"87","601","YUPIK 1KG - RAW SHELLED SUNFLOWER SEEDS","YUPIK 1KG - GRAINES DE TOURNESOL CRUE SANS ÉCA. NAT."
"88","602","YUPIK 1KG  - SHELLED SUNFLOWER SEEDS RS","YUPIK 1KG - GRAINES DE TOURNESOL SANS ÉCALE RS"
"89","603","YUPIK 1KG - SHELLED SUNFLOWER SEEDS RNS","YUPIK 1KG - GRAINES DE TOURNESOL SANS ÉCALE RNS"
"90","610","YUPIK 1KG - RAW SHELLED PUMPKIN SEEDS (AA)","YUPIK 1KG - GRAINES DE CITROUILLE NATURE (AA)"
"91","620","YUPIK 1KG - BLACK SESAME SEEDS","YUPIK 1KG - GRAINES DES SÉSAME NOIRES"
"92","621","YUPIK 1KG - NATURAL SESAME SEEDS","YUPIK 1KG - GRAINES DE SÉSAME NATURELLES"
"93","622","YUPIK 1KG - HULLED SESAME SEEDS","YUPIK 1KG - GRAINES DE SÉSAME DÉCORTIQUÉES"
"94","623","YUPIK 1KG - POPPY SEEDS","YUPIK 1KG - GRAINES DE PAVOT"
"95","640","YUPIK 1KG - BROWN FLAX SEEDS","YUPIK 1KG - GRAINES DE LIN BRUN"
"96","685","YUPIK 1KG - SIMULATED BACON BITS","YUPIK 1KG - IMITATION DE MORCEAUX DE BACON"
"97","801","YUPIK 1KG - ORGANIC GOJI BERRIES","YUPIK 1KG - BAIES DE GOJI (BIO)"
"98","802","YUPIK 1KG - ORGANIC DICED GINGER 8-16 MM","YUPIK 1KG - GINGEMBRE EN DÉS 8-16 MM (BIO)"
"99","803","YUPIK 1KG - ORGANIC PAPAYA SPEARS","YUPIK 1KG - PAPAYES EN ÉPÉES (BIO)"
"100","804","YUPIK 1KG - ORGANIC PINEAPPLE RING","YUPIK 1KG - ANANAS EN RONDELLES (BIO)"
"101","805","YUPIK 1KG - ORGANIC CRANBERRIES","YUPIK 1KG - CANNEBERGES BIOLOGIQUES"
"102","806","YUPIK 1KG - ORGANIC APRICOTS","YUPIK 1KG - ABRICOTS BIOLOGIQUES"
"103","807","YUPIK 1KG - ORGANIC SULTANA RAISINS","YUPIK 1KG - RAISINS SULTANA (BIO)"
"104","808","YUPIK 1KG - ORG. CALIFORNIA FLAME RAISINS","YUPIK 1KG - RAISINS FLAME CALIFORNIE (BIO)"
"105","809","YUPIK 1KG - ORGANIC THOMPSON RAISINS/USA","YUPIK 1KG - RAISINS THOMPSON/USA (BIO)"
"106","810","YUPIK 1KG - ORGANIC MANGO SLICED","YUPIK 1KG - MANGUES TRANCHÉES (BIO)"
"107","811","YUPIK 1KG - ORGANIC DICED MANGO","YUPIK 1KG - MANGUES EN DÉS BIO"
"108","812","YUPIK 1KG - ORGANIC MISSION FIGS","YUPIK 1KG - FIGUES MISSION (BIO)"
"109","816","YUPIK 1KG - ORGANIC DICED PINEAPPLE","YUPIK 1KG - ANANAS EN DÉS BIOLOGIQUES"
"110","817","YUPIK 1KG - ORGANIC DESICCATED FINE COCONUT","YUPIK 1KG - NOIX DE COCO BIOLOGIQUE (FINE)"
"111","820","YUPIK 1KG - ORGANIC MEDJOOL DATES","YUPIK 1KG - DATTES MEDJOOL BIOLOGIQUE"
"112","821","YUPIK 1KG - ORGANIC PITTED DATES","YUPIK 1KG - DATTES DÉNOYAUTÉES (BIO)"
"113","830","YUPIK 1KG - ORGANIC EU RAW ALMONDS","YUPIK 1KG - AMANDES EU CRUES (BIO)"
"114","831","YUPIK 1KG - ORG. BLANCHED POWDER ALMOND","YUPIK 1KG - AMANDES EN POUDRE BLANCHIES (BIO)"
"115","835","YUPIK 1KG - ORGANIC FILBERT","YUPIK 1KG - AVELINES BIOLOGIQUES"
"116","837","YUPIK 1KG - ORGANIC BRAZIL NUTS","YUPIK 1KG - NOIX DU BRÉSIL BIOLOGIQUE"
"117","840","YUPIK 1KG - ORGANIC PECAN 1/2","YUPIK 1KG -  PACANES DEMIES (BIO)"
"118","842","YUPIK 1KG - ORGANIC RAW CASHEWS","YUPIK 1KG - CAJOUS CRUS ENTIERS (BIO)"
"119","845","YUPIK 1KG - ORGANIC PISTACHIO KERNEL","YUPIK 1KG - PISTACHES CRUES ÉCALÉES (BIO)"
"120","846","YUPIK 1KG - ORGANIC SALTED PISTACHIOS","YUPIK 1KG - PISTACHES RÔTIES SALÉES (BIO)"
"121","849","YUPIK 1KG - ORGANIC DRY SPLIT PEANUTS","YUPIK 1KG - ARACHIDES RÔTIES À SEC SPLIT (BIO)"
"122","855","YUPIK 1KG - ORGANIC  WALNUTS","YUPIK 1KG - NOIX DE GRENOBLE (BIO)"
"123","865","YUPIK 1KG - ORG. PUMPKIN SEEDS AA","YUPIK 1KG - GRAINES DE CITROUILLE AA (BIO)"
"124","866","YUPIK 1KG - ORG. EU PUMPKIN SEEDS","YUPIK 1KG - GRAINES CITROUILLE EU (BIO)"
"125","868","YUPIK 1KG - ORGANIC SHELLED SUNFLOWER","YUPIK 1KG - TOURNESOL CRUE SANS ÉCA. (BIO)"
"126","870","YUPIK 1KG - ORGANIC BLACK CHIA SEEDS","YUPIK 1KG - GRAINES DE CHIA BIOLOGIQUES"
"127","872","YUPIK 1KG - ORGANIC WHITE QUINOA","YUPIK 1KG - QUINOA BLANC BIOLOGIQUE"
"128","873","YUPIK 1KG - ORGANIC  RED QUINOA","YUPIK 1KG - QUINOA ROUGE BIOLOGIQUE"
"129","880","YUPIK 1KG - ORGANIC HULLED SESAME SEEDS","YUPIK 1KG - GRAINES DE SÉSAME DÉCORTIQUÉES (BIO)"
"130","881","YUPIK 1KG - ORGANIC NAT. SESAME SEEDS","YUPIK 1KG - GRAINES DE SÉSAME NATURELLES (BIO)"
"131","885","YUPIK 1KG - ORGANIC BROWN FLAX SEEDS","YUPIK 1KG - GRAINES DE LIN BRUN (BIO)"
"132","886","YUPIK 1KG - ORGANIC GOLDEN FLAX SEEDS","YUPIK 1KG - GRAINES DE LIN DORÉES (BIO)"
"133","889","YUPIK 1KG - ORGANIC POPCORN","YUPIK 1KG - MAIS À ÉCLATER (BIO)"
"134","892","YUPIK 1KG - SUPER 6 ORGANIC SEEDS MIX","YUPIK 1KG - MÉLANGE SUPER 6 GRAINS BIO"
"135","893","YUPIK 1KG - ORG. 70% DARK CHOCO CHIPS - 1000 CT","YUPIK 1KG - PEPITES CHOCO NOIR 70%-1000 CT(BIO)"
"136","894","YUPIK 1KG - ORGANIC GAÏA MIX","YUPIK 1KG - MÉLANGE GAÏA BIOLOGIQUE"
"137","895","YUPIK 1 KG - ORGANIC SUNNY SOUP MIX","YUPIK 1 KG - MÉLANGE À SOUPE ENSOLEILLÉ BIO"
"138","896","YUPIK 1KG - ORGANIC ANDALUCIA MIX","YUPIK 1KG - MÉLANGE D'ANDALOUSIE BIOLOGIQUE"
"139","897","YUPIK 1KG - ORGANIC SAFARI MIX","YUPIK 1G - MÉLANGE SAFARI (BIO)"
"140","898","YUPIK 1KG - ORGANIC GOJI ADVENTURE MIX","YUPIK 1KG - MÉLANGE GOJI AVENTURE (BIO)"
"141","899","YUPIK 1KG - ORGANIC HEALTH MIX","YUPIK 1KG - MÉLANGE BIO SANTÉ"
"142","900","YUPIK 1KG - ORGANIC GOJI SPORT MIX","YUPIK 1KG - MÉLANGE GOJI SPORTIF (BIO)"
"143","901","YUPIK 1KG - ORGANIC PALLADIUM MIX","YUPIK 1KG - MÉLANGE PALLADIUM BIOLOGIQUE"
"144","1028","350G YUPIK NATURAL ALMONDS","350G YUPIK AMANDES NATURELLES"
"145","1035","350G YUPIK SALTED ALMONDS","350G YUPIK AMANDES SALÉES"
"146","1090","350G YUPIK  SALTED CASHEWS","350G YUPIK  CAJOUS SALÉS"
"147","1135","225G YUPIK WALNUTS","225G YUPIK GRENOBLES"
"148","1180","250G YUPIK SALTED PISTACHIOS","250G YUPIK PISTACHES SALÉES"
"149","1600","250G YUPIK SPICY JOE MIX","250G YUPIK MÉLANGE SPICY JOE"
"150","1610","350G YUPIK CAMP MIX","350G YUPIK MÉLANGE DES BOIS"
"151","1620","275G YUPIK VILLAGE MIX","275G YUPIK MÉLANGE DU VILLAGE"
"152","1900","155G YUPIK  RICE CRACKERS","155G YUPIK CROUSTILLES DE RIZ"
"153","1905","185G YUPIK JAPANESE MIX","185G YUPIK MÉLANGE JAPONNAIS"
